20 30 18 +10 53 45 1 Delphinus
20 33 13 +11 18 12 2 Delphinus
20 33 57 +13 01 38 3 Delphinus
20 35 19 +14 40 27 4 Delphinus
20 37 49 +11 22 40 5 Delphinus
20 37 33 +14 35 43 6 Delphinus
20 39 08 +10 05 10 7 Delphinus
20 38 44 +13 18 54 8 Delphinus
20 39 38 +15 54 43 9 Delphinus
20 41 16 +14 34 59 10 Delphinus
20 43 28 +15 04 28 11 Delphinus
20 46 40 +16 07 27 12 Delphinus
20 46 39 +16 07 28 12 Delphinus
20 47 48 +06 00 30 13 Delphinus
20 49 48 +07 51 51 14 Delphinus
20 49 38 +12 32 43 15 Delphinus
20 55 39 +12 34 07 16 Delphinus
20 55 37 +13 43 16 17 Delphinus
20 58 26 +10 50 21 18 Delphinus
11 31 24 +69 19 52 1 Draco
11 36 03 +69 19 22 2 Draco
11 42 28 +66 44 42 3 Draco
12 30 07 +69 12 04 4 Draco
12 33 29 +69 47 18 5 Draco
12 34 44 +70 01 19 6 Draco
12 47 34 +66 47 25 7 Draco
12 55 29 +65 26 19 8 Draco
12 59 55 +66 35 50 9 Draco
13 51 26 +64 43 24 10 Draco
14 04 23 +64 22 33 11 Draco
15 24 56 +58 57 58 12 Draco
16 01 53 +58 33 55 13 Draco
16 24 00 +61 30 51 14 Draco
16 27 59 +68 46 05 15 Draco
16 36 12 +52 54 01 16 Draco
16 36 14 +52 55 27 17 Draco
16 36 14 +52 55 28 17 Draco
16 40 55 +64 35 21 18 Draco
16 56 02 +65 08 05 19 Draco
16 56 25 +65 02 21 20 Draco
17 05 20 +54 28 13 21 Draco
17 05 20 +54 28 13 21 Draco
17 08 47 +65 42 53 22 Draco
17 30 26 +52 18 05 23 Draco
17 32 11 +55 11 03 24 Draco
17 32 16 +55 10 23 25 Draco
17 35 00 +61 52 30 26 Draco
17 31 58 +68 08 06 27 Draco
17 36 57 +68 45 29 28 Draco
17 49 04 +50 46 52 30 Draco
17 41 58 +72 09 25 31 Draco
17 41 56 +72 08 56 31 Draco
17 53 32 +56 52 22 32 Draco
17 56 36 +51 29 20 33 Draco
17 55 11 +72 00 18 34 Draco
17 49 27 +76 57 46 35 Draco
18 13 54 +64 23 50 36 Draco
18 15 17 +68 45 21 37 Draco
18 23 55 +58 48 02 39 Draco
18 00 03 +80 00 03 40 Draco
18 00 09 +80 00 15 41 Draco
18 25 59 +65 33 49 42 Draco
18 20 46 +71 20 16 43 Draco
18 21 03 +72 43 58 44 Draco
18 32 35 +57 02 44 45 Draco
18 42 38 +55 32 22 46 Draco
18 51 12 +59 23 18 47 Draco
