07 46 45 -20 49 52 37954 7.34 -0.400
10 44 23 -59 59 34 52526 6.32 -0.310
03 25 37 +45 30 56 15972 7.50 -0.300
06 06 00 +12 28 46 28894 7.70 -0.300
09 37 54 -00 19 09 47252 7.87 -0.300
21 10 58 +09 32 56 104570 7.44 -0.300
21 31 25 -19 14 17 106264 7.15 -0.300
05 46 00 -32 18 24 27204 5.18 -0.274
08 03 35 -40 00 09 39429 2.21 -0.269 Zeta Pup
05 31 55 -07 18 06 25923 4.62 -0.261
05 35 02 -06 00 07 26199 4.78 -0.248
08 04 47 +06 11 11 39540 7.85 -0.248
06 31 50 -23 25 06 31125 4.34 -0.245
12 26 35 -63 05 55 60718 0.77 -0.243 Acrux
05 24 28 -02 23 50 25281 3.35 -0.240
06 22 41 -17 57 21 30324 1.98 -0.240
12 47 42 -59 41 18 62434 1.25 -0.238
00 41 11 +39 36 12 3237 7.99 -0.236
05 19 34 -13 10 35 24845 4.29 -0.235
13 25 11 -11 09 39 65474 0.98 -0.235
07 13 35 -27 21 22 34924 6.12
06 40 58 +09 53 45 31978 4.66
06 15 07 +13 51 05 29678 5.91
14 03 48 -60 22 21 68702 0.61
17 33 36 -37 06 15 85927 1.62
05 13 33 -31 54 16 24355 7.50
06 10 17 -54 58 06 29276 4.72
05 35 00 -06 00 33 26197 5.67
07 53 04 -49 36 45 38500 4.63
10 48 23 +37 34 15 52849 7.03
15 21 21 -40 38 50 75141 3.22
13 49 29 -41 41 14 67464 3.41
05 25 07 +06 20 59 25336 1.64
13 58 15 -42 06 01 68245 3.83
10 42 57 -64 23 38 52419 2.74
05 23 29 -13 55 38 25202 5.25
09 11 33 -46 35 00 45122 5.78
05 38 37 -06 34 26 26535 5.96
15 35 07 -41 09 59 76297 2.80
07 37 05 +16 54 16 37074 6.94
02 39 28 +00 19 41 12387 4.08
05 36 35 -06 03 53 26345 5.71
06 53 32 -20 13 26 33092 4.82
06 58 38 -28 58 20 33579 1.50
04 36 18 -03 21 10 21444 3.93
05 35 25 -05 54 36 26241 2.75
05 37 26 -05 56 18 26427 6.03
11 16 11 -03 28 17 55051 7.40
16 52 19 -38 01 03 82545 3.56
05 23 41 -00 09 35 25223 5.69
13 58 40 -44 48 11 68282 3.87
14 59 09 -42 06 13 73334 3.13
22 39 15 +39 02 59 111841 4.89
16 00 06 -38 23 47 78384 3.42
16 35 52 -28 12 57 81266 2.82
21 01 11 +46 09 19 103732 5.38
08 50 33 -46 31 43 43413 5.09
02 22 53 +41 28 46 11099 7.46
04 29 06 -13 02 55 20922 5.61
04 57 44 -14 13 55 23060 6.15
06 11 51 -06 33 01 29417 5.06
21 28 39 +70 33 37 106032 3.23
